Chain ID,Start Time,End Time,Techniques,Tactic,Confidence Score,Explanation,Duration,Num Events
7703,2021-03-02 16:53:44.607,2021-03-02 16:53:44.607,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
7677,2021-03-02 16:53:44.623,2021-03-02 16:53:44.623,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
7631,2021-03-02 16:53:44.682,2021-03-02 16:53:44.682,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
7623,2021-03-02 16:53:44.685,2021-03-02 16:53:44.685,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
7589,2021-03-02 16:53:44.701,2021-03-02 16:53:44.701,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
7591,2021-03-02 16:53:44.701,2021-03-02 16:53:44.701,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
7595,2021-03-02 16:53:44.701,2021-03-02 16:53:44.701,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
7566,2021-03-02 16:53:44.732,2021-03-02 16:53:44.732,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
7513,2021-03-02 16:53:44.775,2021-03-02 16:53:44.775,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
7521,2021-03-02 16:53:44.784,2021-03-02 16:53:44.784,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
7488,2021-03-02 16:53:44.795,2021-03-02 16:53:44.795,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
7480,2021-03-02 16:53:44.810,2021-03-02 16:53:44.810,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
